0.013951 0.014034 0.011648 0.012862 0.012614 0.014185 0.223127 0.206761  0.491621
0.013561 0.014572 0.010952 0.013190 0.012428 0.014359 0.221966 0.200261  0.487968
0.013611 0.014958 0.011603 0.013261 0.012377 0.014404 0.224745 0.201540  0.501170
0.013515 0.014973 0.011942 0.013854 0.012826 0.014682 0.236729 0.215839  0.509611
0.013231 0.015031 0.011982 0.014123 0.013119 0.015142 0.241299 0.217326  0.509092
0.014256 0.014992 0.012049 0.013445 0.013023 0.015686 0.239119 0.216110  0.534303
0.013469 0.015114 0.013151 0.013533 0.013004 0.015432 0.250152 0.225408  0.537189
0.013477 0.015845 0.011885 0.013782 0.014083 0.015094 0.248345 0.227647  0.532466
0.014075 0.014235 0.012582 0.013720 0.012731 0.015981 0.248704 0.226745  0.546189
0.014272 0.015052 0.012625 0.014099 0.013451 0.015737 0.249893 0.230872  0.528246
0.014514 0.015201 0.012741 0.013777 0.013017 0.015033 0.250175 0.225379  0.553201
0.015108 0.015967 0.012765 0.014207 0.013603 0.015619 0.253254 0.224015  0.543412
0.013734 0.014325 0.012000 0.013687 0.012838 0.015123 0.249014 0.225610  0.551559
0.013394 0.015651 0.012735 0.013634 0.013287 0.015242 0.252698 0.216432  0.564490
0.014117 0.014727 0.013393 0.013613 0.013154 0.015536 0.250254 0.218798  0.556383
0.013475 0.016717 0.011600 0.013361 0.013864 0.014686 0.260576 0.223476  0.574686
0.013984 0.015024 0.012236 0.013485 0.013538 0.015208 0.267463 0.229543  0.567998
0.014526 0.014950 0.012435 0.014579 0.014171 0.014991 0.277349 0.239998  0.575395
0.013621 0.014208 0.011876 0.012620 0.012215 0.014497 0.273260 0.235449  0.569243
0.013258 0.015517 0.011419 0.013121 0.013436 0.014537 0.279527 0.252660  0.568402
0.013518 0.015214 0.012135 0.013210 0.013174 0.014667 0.297990 0.251139  0.585852
0.013277 0.015332 0.012389 0.013484 0.013866 0.015176 0.284064 0.262722  0.591596
0.014175 0.014365 0.012816 0.013304 0.013444 0.014491 0.297455 0.262465  0.619290
0.013608 0.015410 0.012820 0.013086 0.014179 0.015049 0.296974 0.269986  0.622382
0.014460 0.014621 0.012920 0.013662 0.012826 0.015543 0.302144 0.267005  0.625347
0.014200 0.015266 0.012995 0.014034 0.013537 0.015858 0.299378 0.266145  0.610478
0.014249 0.015262 0.011671 0.013753 0.012894 0.015184 0.298454 0.275991  0.623110
0.014030 0.015386 0.012100 0.013605 0.013205 0.015288 0.303685 0.270094  0.628734
0.012734 0.014476 0.012930 0.012618 0.012861 0.014722 0.309858 0.279249  0.633156
0.013903 0.014379 0.012394 0.014433 0.012737 0.015686 0.313718 0.274524  0.634030
0.014255 0.015584 0.013061 0.013631 0.013746 0.015373 0.312309 0.274423  0.644634
0.015118 0.015722 0.011928 0.014215 0.013912 0.014718 0.308712 0.278243  0.624666
0.013207 0.014983 0.011204 0.014022 0.013560 0.014322 0.310172 0.279558  0.633881
0.014460 0.016283 0.011227 0.013831 0.014458 0.014819 0.318222 0.276876  0.642637
0.013622 0.015574 0.012058 0.014211 0.013728 0.014950 0.316965 0.283369  0.657949
0.014179 0.015457 0.012323 0.013497 0.013933 0.014924 0.321533 0.285810  0.638095
0.014017 0.015272 0.012069 0.013271 0.013112 0.015536 0.321381 0.280190  0.638107
0.013510 0.015060 0.011662 0.013614 0.013363 0.014569 0.334144 0.289204  0.635562
